mext_code,kind,name,name_kana,prefecture
MOCK_001,UNIVERSITY,千葉県立保健医療大学,チバケンリツホケンイリョウダイガク,千葉県
MOCK_002,UNIVERSITY,千葉工業大学,チバコウギョウダイガク,千葉県
MOCK_003,UNIVERSITY,東京大学,トウキョウダイガク,東京都
MOCK_004,UNIVERSITY,東京工業大学,トウキョウコウギョウダイガク,東京都
MOCK_005,UNIVERSITY,京都大学,キョウトダイガク,京都府
MOCK_006,UNIVERSITY,大阪大学,オオサカダイガク,大阪府
MOCK_007,UNIVERSITY,東北大学,トウホクダイガク,宮城県
MOCK_008,UNIVERSITY,北海道大学,ホッカイドウダイガク,北海道
MOCK_009,UNIVERSITY,早稲田大学,ワセダダイガク,東京都
MOCK_010,UNIVERSITY,慶應義塾大学,ケイオウギジュクダイガク,東京都
MOCK_011,UNIVERSITY,一橋大学,ヒトツバシダイガク,東京都
MOCK_012,UNIVERSITY,お茶の水女子大学,オチャノミズジョシダイガク,東京都
MOCK_013,UNIVERSITY,筑波大学,ツクバダイガク,茨城県
MOCK_014,UNIVERSITY,横浜国立大学,ヨコハマコクリツダイガク,神奈川県
MOCK_015,UNIVERSITY,名古屋大学,ナゴヤダイガク,愛知県
MOCK_016,UNIVERSITY,九州大学,キュウシュウダイガク,福岡県
MOCK_017,VOCATIONAL_SCHOOL,HAL東京,ハルトウキョウ,東京都
MOCK_018,VOCATIONAL_SCHOOL,日本電子専門学校,ニホンデンシセンモンガッコウ,東京都
MOCK_019,VOCATIONAL_SCHOOL,東京デザイン専門学校,トウキョウデザインセンモンガッコウ,東京都
MOCK_020,VOCATIONAL_SCHOOL,神田外語学院,カンダガイゴガクイン,東京都
MOCK_021,HIGH_SCHOOL,千葉商科大学付属高等学校,チバショウカダイガクフゾクコウトウガッコウ,千葉県
MOCK_022,HIGH_SCHOOL,慶應義塾高等学校,ケイオウギジュクコウトウガッコウ,神奈川県
MOCK_023,UNIVERSITY,東京理科大学,トウキョウリカダイガク,東京都
MOCK_024,UNIVERSITY,明治大学,メイジダイガク,東京都
MOCK_025,UNIVERSITY,青山学院大学,アオヤマガクインダイガク,東京都
MOCK_026,UNIVERSITY,立教大学,リッキョウダイガク,東京都
MOCK_027,UNIVERSITY,中央大学,チュウオウダイガク,東京都
MOCK_028,UNIVERSITY,法政大学,ホウセイダイガク,東京都
MOCK_029,UNIVERSITY,埼玉大学,サイタマダイガク,埼玉県
MOCK_030,UNIVERSITY,千葉大学,チバダイガク,千葉県
MOCK_031,UNIVERSITY,電気通信大学,デンキツウシンダイガク,東京都
MOCK_032,UNIVERSITY,東京都立大学,トウキョウトリツダイガク,東京都
MOCK_033,TECHNICAL_COLLEGE,東京工業高等専門学校,トウキョウコウギョウコウトウセンモンガッコウ,東京都
MOCK_034,TECHNICAL_COLLEGE,木更津工業高等専門学校,キサラヅコウギョウコウトウセンモンガッコウ,千葉県
MOCK_035,VOCATIONAL_SCHOOL,東京情報クリエイター工学院専門学校,トウキョウジョウホウクリエイターコウガクインセンモンガッコウ,東京都
